GENERATION,FITNESS MAX,FITNESS MIN,MEAN,STD
1, 1930.501931, 1314.060447, 1715.320500, 228.623224
2, 1930.501931, 1718.213058, 1873.369068, 55.675632
3, 1930.501931, 1869.158879, 1898.571584, 24.602736
4, 2079.002079, 1331.557923, 1815.603022, 208.113635
5, 2109.704641, 1207.729469, 1770.091781, 312.723536
6, 2109.704641, 1893.939394, 2011.997567, 89.113720
7, 2109.704641, 1930.501931, 2091.784370, 53.760813
8, 2109.704641, 1000.000000, 1780.516723, 411.218634
9, 2109.704641, 1055.966209, 1967.880404, 322.813671
10, 2109.704641, 1529.051988, 2006.709648, 182.255225
11, 2109.704641, 1079.913607, 1697.956407, 347.375398
12, 2109.704641, 1706.484642, 1924.788378, 147.498329
13, 2109.704641, 1158.748552, 1925.405372, 285.624032
14, 2109.704641, 1675.041876, 2035.448081, 151.193753
15, 2109.704641, 1245.330012, 1925.306498, 270.252264
16, 2109.704641, 1788.908766, 2037.431640, 115.218049
17, 2109.704641, 1388.888889, 1914.731938, 275.959251
18, 2109.704641, 1256.281407, 1904.863838, 311.344616
19, 2109.704641, 1295.336788, 1969.719641, 241.211711
20, 2109.704641, 815.660685, 1704.998811, 469.334085
21, 2109.704641, 1189.060642, 1731.448688, 313.346680
22, 2109.704641, 1848.428835, 2042.262084, 92.211039
23, 2109.704641, 1730.103806, 2041.279509, 137.872669
24, 2109.704641, 733.675715, 1875.275034, 411.734383
25, 2109.704641, 1545.595054, 2010.673387, 200.448670
26, 2109.704641, 701.754386, 1968.909616, 422.385077
27, 2109.704641, 1141.552511, 1763.817615, 368.758748
28, 2109.704641, 574.382539, 1714.663786, 473.292216
29, 2109.704641, 1377.410468, 1773.527464, 249.114910
30, 2109.704641, 1428.571429, 1934.197230, 187.255732
31, 2109.704641, 1923.076923, 2008.369543, 84.990248
32, 2109.704641, 991.080278, 1886.345103, 370.435885
33, 2109.704641, 1293.661061, 1988.658029, 244.724435
34, 2109.704641, 576.701269, 1842.632289, 461.737800
35, 2109.704641, 1466.275660, 1960.943925, 222.567352
36, 2109.704641, 1466.275660, 1964.070567, 218.641039
37, 2109.704641, 1187.648456, 1665.498478, 350.423778
38, 2109.704641, 1811.594203, 1986.385672, 110.452239
39, 2109.704641, 473.260767, 1778.818132, 572.467933
40, 2109.704641, 1879.699248, 2035.688946, 93.423643
41, 2109.704641, 1251.564456, 1936.930505, 250.624820
