GENERATION,FITNESS MAX,FITNESS MIN,MEAN,STD
1, 2538.071066, 1428.571429, 2076.735880, 359.151915
2, 2538.071066, 1706.484642, 2152.297416, 287.986602
3, 2538.071066, 1633.986928, 2281.445336, 275.110223
4, 2538.071066, 1587.301587, 2303.675537, 338.119955
5, 2538.071066, 1718.213058, 2384.855019, 242.979653
6, 2538.071066, 1644.736842, 2281.875970, 372.682471
7, 2538.071066, 1848.428835, 2458.903542, 203.846541
8, 2538.071066, 1300.390117, 2248.837443, 448.792591
9, 2673.796791, 1980.198020, 2482.901176, 177.028554
10, 2673.796791, 2375.296912, 2551.574657, 88.745256
11, 2583.979328, 1317.523057, 2231.683742, 407.684567
12, 2583.979328, 1700.680272, 2386.755611, 296.917888
13, 2583.979328, 1499.250375, 2368.165902, 431.634279
14, 2583.979328, 1305.483029, 2393.037631, 391.315522
15, 2583.979328, 1855.287570, 2384.952585, 292.847150
16, 2583.979328, 829.187396, 2320.275889, 531.755627
17, 2583.979328, 1168.224299, 2351.383435, 467.899241
18, 2583.979328, 2583.979328, 2583.979328, 0.000043
19, 2583.979328, 2415.458937, 2558.105915, 54.629027
20, 2624.671916, 1730.103806, 2235.059163, 365.250190
21, 2631.578947, 1680.672269, 2294.888156, 348.734736
22, 2710.027100, 1636.661211, 2425.666172, 283.890919
23, 2710.027100, 1161.440186, 2314.860075, 471.781442
24, 2710.027100, 2398.081535, 2613.703796, 101.194865
25, 2710.027100, 1410.437236, 2411.623304, 446.631691
26, 2710.027100, 1242.236025, 2409.697592, 501.450102
27, 2710.027100, 1677.852349, 2370.453115, 429.359217
28, 2710.027100, 1672.240803, 2509.697543, 303.117654
29, 2710.027100, 1890.359168, 2412.153364, 254.376264
30, 2710.027100, 577.367206, 2257.814477, 629.377726
31, 2710.027100, 1838.235294, 2508.955329, 246.614295
32, 2710.027100, 2500.000000, 2654.882317, 65.455283
33, 2710.027100, 1290.322581, 2416.256153, 448.761373
34, 2710.027100, 1912.045889, 2573.273302, 230.951989
35, 2710.027100, 1769.911504, 2456.782853, 331.208556
36, 2710.027100, 1736.111111, 2612.635501, 292.174797
37, 2710.027100, 2710.027100, 2710.027100, 0.000053
38, 2710.027100, 1718.213058, 2528.522231, 364.961670
39, 2710.027100, 495.785821, 2295.434605, 693.917516
40, 2710.027100, 1552.795031, 2354.004584, 407.316460
41, 2710.027100, 1644.736842, 2465.660626, 305.412479
42, 2710.027100, 2421.307506, 2654.651208, 110.878291
43, 2710.027100, 1869.158879, 2474.417731, 317.309144
44, 2710.027100, 1652.892562, 2459.867592, 354.072256
45, 2710.027100, 1675.041876, 2398.330928, 365.865170
46, 2710.027100, 1626.016260, 2535.094342, 319.659449
47, 2710.027100, 2207.505519, 2607.992105, 168.267435
48, 2710.027100, 2352.941176, 2595.900494, 146.407829
49, 2710.027100, 2710.027100, 2710.027100, 0.000053
50, 2710.027100, 1683.501684, 2447.696798, 357.657573
51, 2710.027100, 1261.034048, 2344.293245, 464.502327
52, 2710.027100, 436.300175, 2211.696085, 697.368117
53, 2710.027100, 1811.594203, 2343.431001, 253.552357
54, 2710.027100, 1658.374793, 2364.211100, 350.216511
55, 2710.027100, 1582.278481, 2354.610363, 435.118290
56, 2710.027100, 2538.071066, 2637.821562, 73.936108
57, 2710.027100, 1692.047377, 2494.979725, 356.582490
58, 2710.027100, 1628.664495, 2314.963373, 457.836192
59, 2710.027100, 1689.189189, 2490.611284, 403.241608
60, 2710.027100, 1291.989664, 2489.914660, 432.983742
61, 2710.027100, 2079.002079, 2557.326235, 223.154739
62, 2710.027100, 1222.493888, 2348.134521, 458.340729
63, 2710.027100, 1620.745543, 2205.055331, 429.014315
64, 2710.027100, 625.782228, 2318.788276, 591.265801
65, 2710.027100, 1661.129568, 2436.779614, 402.556784
66, 2710.027100, 1697.792869, 2466.147933, 359.960564
67, 2710.027100, 625.782228, 2236.511267, 674.477402
68, 2710.027100, 1697.792869, 2507.027039, 295.361552
69, 2710.027100, 1386.962552, 2529.402601, 394.025313
70, 2710.027100, 1607.717042, 2554.374351, 329.174455
71, 2710.027100, 2398.081535, 2586.246562, 126.827072
72, 2710.027100, 1191.895113, 2221.413317, 469.963731
73, 2710.027100, 1356.852103, 2259.753085, 457.737683
74, 2710.027100, 1154.734411, 2107.885714, 601.926676
75, 2710.027100, 1569.858713, 2338.796863, 415.857784
76, 2673.796791, 1745.200698, 2426.659557, 270.204976
77, 2673.796791, 1821.493625, 2454.413040, 236.927902
78, 2673.796791, 2450.980392, 2536.982229, 84.650027
79, 2673.796791, 1100.110011, 2445.410823, 455.345079
80, 2673.796791, 1663.893511, 2533.869863, 297.843530
81, 2673.796791, 1602.564103, 2413.618890, 401.325270
82, 2673.796791, 2267.573696, 2591.774090, 136.433156
83, 2673.796791, 1146.788991, 2295.675279, 482.935747
84, 2673.796791, 1547.987616, 2325.596484, 467.474543
85, 2673.796791, 2415.458937, 2619.884663, 101.106216
86, 2673.796791, 1605.136437, 2473.162188, 402.336544
87, 2673.796791, 1739.130435, 2482.759580, 280.433473
88, 2673.796791, 1865.671642, 2500.997680, 241.640998
89, 2673.796791, 2293.577982, 2583.676642, 124.437575
90, 2673.796791, 518.403318, 2279.903800, 653.061478
91, 2673.796791, 1464.128843, 2229.663222, 453.336645
92, 2673.796791, 1432.664756, 2090.216988, 436.410012
93, 2673.796791, 1182.033097, 2267.546385, 461.732511
94, 2673.796791, 1709.401709, 2351.440629, 340.108055
95, 2673.796791, 1572.327044, 2324.908208, 458.099557
96, 2673.796791, 1742.160279, 2421.243655, 304.306170
97, 2673.796791, 1547.987616, 2283.895850, 359.168650
98, 2673.796791, 1184.834123, 2240.904140, 524.749691
99, 2673.796791, 1692.047377, 2401.459492, 334.818433
100, 2770.083102, 1612.903226, 2519.766565, 315.345717
