GENERATION,FITNESS MAX,FITNESS MIN,MEAN,STD
1, 381.300364, 298.633250, 364.917603, 24.632039
2, 381.300364, 163.024876, 319.608801, 68.437991
3, 381.300364, 202.349672, 327.349573, 61.706591
4, 381.300364, 232.564680, 336.865203, 55.459139
5, 381.300364, 253.141650, 337.031294, 53.702698
6, 381.300364, 267.391559, 341.276623, 45.338299
7, 381.300364, 246.607714, 358.309643, 46.821138
8, 381.300364, 260.144142, 344.242488, 46.878482
9, 381.300364, 299.165763, 373.086904, 24.640380
10, 381.300364, 88.173054, 290.740511, 105.866012
