GENERATION,FITNESS MAX,FITNESS MIN,MEAN,STD
1, 353.451591, 260.378310, 327.924050, 29.217476
2, 353.451591, 257.667035, 328.755789, 32.399098
3, 353.451591, 257.987182, 330.760694, 33.053453
4, 353.451591, 253.623825, 328.404474, 33.326036
5, 353.451591, 240.724071, 330.464185, 34.421837
6, 353.451591, 245.961285, 331.068319, 35.713915
7, 353.451591, 211.821767, 334.477672, 33.010302
8, 353.451591, 242.941030, 330.124259, 34.822654
9, 353.451591, 248.192480, 332.971789, 31.538166
10, 353.451591, 229.842508, 322.025308, 37.571764
11, 353.451591, 248.192480, 334.003756, 31.869288
12, 353.451591, 243.430296, 325.157955, 35.275542
13, 353.451591, 251.890483, 333.494345, 31.927352
14, 353.451591, 242.187731, 330.688214, 34.347927
15, 353.451591, 239.054339, 331.420483, 34.622934
16, 353.451591, 248.946712, 322.993944, 37.399537
17, 353.451591, 234.194366, 328.887639, 35.732386
18, 353.451591, 254.081671, 331.810946, 33.342921
19, 353.451591, 248.877285, 324.763915, 36.493979
20, 353.451591, 254.706568, 327.061312, 35.276237
21, 353.451591, 247.793650, 321.692596, 38.102052
22, 353.451591, 250.050913, 326.747296, 35.439695
23, 353.451591, 252.041848, 332.921252, 32.366609
24, 353.451591, 220.333050, 326.264430, 36.603876
25, 353.451591, 248.355607, 331.212705, 33.294857
26, 353.451591, 236.430685, 335.942711, 33.360877
27, 353.451591, 260.821959, 328.205076, 33.941346
28, 353.451591, 232.506666, 327.886149, 36.246559
29, 353.451591, 242.024224, 319.146901, 38.081027
30, 353.451591, 249.244062, 325.503490, 37.484435
31, 353.451591, 247.234231, 333.911625, 31.547894
32, 353.451591, 222.588612, 325.467319, 38.155069
33, 353.451591, 240.641204, 327.715309, 37.191755
34, 353.451591, 238.453632, 330.745118, 35.842301
35, 353.451591, 245.130417, 329.595270, 34.304433
36, 353.451591, 253.467491, 328.787502, 34.654132
37, 353.451591, 242.549067, 325.773995, 36.638910
38, 353.451591, 251.734767, 321.000592, 36.937065
39, 353.451591, 244.615752, 315.301627, 38.027038
40, 353.451591, 242.034000, 331.912229, 34.374584
41, 353.451591, 236.975700, 327.759476, 35.714813
42, 353.451591, 230.957518, 327.295237, 35.546081
43, 353.451591, 252.072142, 325.699798, 37.162722
44, 353.451591, 243.886078, 327.788476, 36.723437
45, 353.451591, 256.950390, 330.039439, 33.262058
46, 353.451591, 234.014049, 325.756362, 35.643130
47, 353.451591, 246.183609, 317.626829, 38.621796
48, 353.451591, 237.042663, 324.369934, 36.568285
49, 353.451591, 236.868636, 318.081853, 39.929607
50, 353.451591, 229.366144, 327.435670, 38.726078
51, 353.451591, 239.928153, 319.603779, 38.849905
52, 353.451591, 238.301895, 322.808114, 37.872638
53, 353.451591, 251.722681, 328.762564, 34.030930
54, 353.451591, 228.888004, 320.074809, 39.685016
55, 353.451591, 240.955018, 328.673891, 37.174468
56, 353.451591, 252.460560, 326.081849, 36.641242
57, 353.451591, 240.566673, 320.889288, 37.529635
58, 353.451591, 245.011566, 325.916262, 36.144559
59, 353.451591, 253.760391, 334.836398, 31.788641
60, 353.451591, 247.353789, 326.177849, 35.415658
61, 353.451591, 242.962139, 326.334349, 36.651812
62, 353.451591, 243.242535, 327.954322, 36.110001
63, 353.451591, 247.798042, 328.547571, 35.231369
64, 353.451591, 240.955018, 333.160662, 33.849583
65, 353.451591, 229.616020, 330.851211, 33.996429
66, 353.451591, 244.073415, 326.339981, 36.898106
67, 353.451591, 259.328663, 331.404681, 32.941288
68, 353.451591, 245.926673, 328.016546, 35.659186
69, 353.451591, 237.643006, 325.801055, 37.358182
70, 353.451591, 257.583168, 327.729081, 36.391859
71, 353.451591, 243.788267, 334.632426, 32.781726
72, 353.451591, 253.210420, 330.372508, 35.304570
73, 353.451591, 244.191357, 329.578465, 37.206691
74, 353.451591, 248.070642, 324.216364, 36.593608
75, 353.451591, 243.981130, 328.792768, 36.570768
76, 353.451591, 241.757776, 324.044666, 37.127306
77, 353.451591, 238.310019, 323.734622, 36.961212
78, 353.451591, 255.736210, 335.580170, 31.082479
79, 353.451591, 242.015845, 323.252438, 38.127694
80, 353.451591, 246.892232, 326.615651, 36.143061
81, 353.451591, 253.268521, 331.130327, 33.297455
82, 353.451591, 246.322404, 323.556162, 36.274776
83, 353.451591, 252.481836, 326.993333, 36.266871
84, 353.451591, 250.740030, 330.735676, 34.638490
85, 353.451591, 178.257252, 336.910794, 33.629225
86, 353.451591, 238.436010, 327.005312, 38.420611
87, 353.451591, 229.681404, 324.521104, 37.922089
88, 353.451591, 252.976755, 330.479157, 35.080600
89, 353.451591, 246.947470, 327.467288, 34.808473
90, 353.451591, 241.483571, 326.368033, 37.545530
91, 353.451591, 246.980915, 324.303358, 38.139975
92, 353.451591, 240.136949, 327.871899, 36.453499
93, 353.451591, 244.350688, 323.891066, 36.874014
94, 353.451591, 234.660818, 331.779484, 34.107108
95, 353.451591, 249.390779, 321.669616, 37.424737
96, 353.451591, 250.025573, 328.135106, 36.589911
97, 353.451591, 232.781521, 328.595520, 36.342614
98, 353.451591, 243.901679, 327.260259, 36.561908
99, 353.451591, 246.393308, 329.703290, 35.115974
100, 353.451591, 258.402016, 325.909737, 34.705430
