GENERATION,FITNESS MAX,FITNESS MIN,MEAN,STD
1, 0.904424, 0.844321, 0.901400, 0.007795
2, 0.904424, 0.887794, 0.902055, 0.003273
3, 0.904424, 0.888231, 0.902907, 0.003031
4, 0.904813, 0.881077, 0.902200, 0.004139
5, 0.905209, 0.886139, 0.902487, 0.003281
6, 0.905209, 0.881911, 0.902774, 0.003628
7, 0.905209, 0.865948, 0.902427, 0.004849
8, 0.905209, 0.848923, 0.901705, 0.007294
9, 0.905209, 0.881482, 0.903015, 0.003809
10, 0.905209, 0.867304, 0.903007, 0.004720
11, 0.905209, 0.884949, 0.902756, 0.003645
12, 0.905209, 0.893663, 0.903153, 0.003056
13, 0.905209, 0.862385, 0.902781, 0.005566
14, 0.905209, 0.877963, 0.902055, 0.004510
15, 0.905209, 0.872995, 0.903069, 0.004216
16, 0.905209, 0.844603, 0.902606, 0.006726
17, 0.905323, 0.880712, 0.902888, 0.003644
18, 0.905323, 0.874721, 0.903002, 0.005116
19, 0.905323, 0.891529, 0.903318, 0.003195
20, 0.905323, 0.861521, 0.902712, 0.005399
21, 0.905323, 0.894306, 0.903130, 0.003173
22, 0.905344, 0.876763, 0.903565, 0.003924
23, 0.905344, 0.890144, 0.903146, 0.003547
24, 0.905344, 0.885648, 0.902316, 0.004149
25, 0.905344, 0.863472, 0.903307, 0.005951
26, 0.905344, 0.891262, 0.903156, 0.003460
27, 0.905344, 0.868733, 0.903252, 0.004591
28, 0.905344, 0.885412, 0.902926, 0.003590
29, 0.905404, 0.892168, 0.903115, 0.003152
30, 0.905404, 0.875282, 0.903037, 0.004455
31, 0.905404, 0.885145, 0.903248, 0.004378
32, 0.905409, 0.890835, 0.903934, 0.002783
33, 0.905409, 0.873677, 0.902775, 0.004313
34, 0.905409, 0.894728, 0.903550, 0.003044
35, 0.905409, 0.825925, 0.902739, 0.008383
36, 0.905409, 0.867584, 0.903575, 0.004726
37, 0.905409, 0.895191, 0.903366, 0.003223
38, 0.905409, 0.879751, 0.902974, 0.004021
39, 0.905409, 0.881705, 0.903018, 0.004503
40, 0.905409, 0.894969, 0.903779, 0.002881
41, 0.905575, 0.880791, 0.903158, 0.003984
42, 0.905575, 0.869381, 0.902615, 0.004958
43, 0.905575, 0.894830, 0.903683, 0.003039
44, 0.905575, 0.846921, 0.901824, 0.008106
45, 0.905575, 0.873933, 0.903225, 0.004700
46, 0.905575, 0.894376, 0.903735, 0.003081
47, 0.905575, 0.870930, 0.903113, 0.004845
48, 0.905575, 0.895515, 0.904035, 0.002917
49, 0.905575, 0.868800, 0.903028, 0.004656
50, 0.905575, 0.878884, 0.903489, 0.003906
51, 0.905575, 0.845488, 0.902229, 0.007471
52, 0.905575, 0.818551, 0.902734, 0.009867
53, 0.905575, 0.884178, 0.902483, 0.006077
54, 0.905575, 0.659342, 0.889299, 0.033120
55, 0.905575, 0.817005, 0.887439, 0.026716
56, 0.905575, 0.818283, 0.896076, 0.017020
57, 0.906731, 0.806859, 0.897964, 0.019094
58, 0.907640, 0.866840, 0.901543, 0.009751
59, 0.907640, 0.784093, 0.892560, 0.021789
60, 0.907640, 0.827069, 0.894744, 0.021046
61, 0.907640, 0.826052, 0.899955, 0.015450
62, 0.907640, 0.825710, 0.902155, 0.010596
63, 0.907640, 0.706103, 0.880309, 0.043477
64, 0.907640, 0.798540, 0.895056, 0.023322
65, 0.907640, 0.784183, 0.892966, 0.024411
66, 0.907640, 0.746058, 0.884272, 0.038751
67, 0.907640, 0.868850, 0.904531, 0.006436
68, 0.907640, 0.738199, 0.863373, 0.059396
69, 0.907640, 0.778558, 0.893844, 0.030435
70, 0.907640, 0.569179, 0.850262, 0.071473
71, 0.907640, 0.756098, 0.885543, 0.036914
72, 0.907640, 0.630809, 0.871441, 0.054056
73, 0.907640, 0.557729, 0.839454, 0.089451
74, 0.907640, 0.790504, 0.880597, 0.037150
75, 0.907640, 0.737867, 0.870157, 0.049068
76, 0.907640, 0.787065, 0.884133, 0.032830
77, 0.907640, 0.750106, 0.884241, 0.036591
78, 0.907640, 0.707647, 0.886816, 0.037509
79, 0.907640, 0.772940, 0.887746, 0.034250
80, 0.907640, 0.738707, 0.881523, 0.035933
81, 0.907640, 0.738954, 0.882343, 0.037095
82, 0.907640, 0.723736, 0.866539, 0.053796
83, 0.907640, 0.787818, 0.877020, 0.040516
84, 0.907640, 0.752103, 0.872926, 0.049630
85, 0.907640, 0.687904, 0.862772, 0.058789
86, 0.907640, 0.699822, 0.865756, 0.053317
87, 0.907640, 0.778306, 0.879508, 0.043342
88, 0.907640, 0.766017, 0.892471, 0.030843
89, 0.907640, 0.789658, 0.899143, 0.023992
90, 0.907640, 0.685613, 0.876693, 0.050933
91, 0.907640, 0.806367, 0.893307, 0.031889
92, 0.907640, 0.796153, 0.868711, 0.047492
93, 0.907640, 0.888903, 0.905140, 0.004089
94, 0.907640, 0.823497, 0.904289, 0.009284
95, 0.907640, 0.680202, 0.887353, 0.040191
96, 0.907640, 0.793083, 0.881070, 0.036720
97, 0.907640, 0.757781, 0.876194, 0.048006
98, 0.907640, 0.718634, 0.878786, 0.049616
99, 0.907640, 0.699174, 0.869243, 0.058389
100, 0.907640, 0.719119, 0.855970, 0.064635
