GENERATION,FITNESS MAX,FITNESS MIN,MEAN,STD
1, 43.124035, 31.133677, 41.276994, 2.710355
2, 43.124035, 36.336311, 42.264866, 1.676638
3, 43.124035, 37.154396, 42.533565, 1.312686
4, 43.124035, 37.630475, 42.299580, 1.539719
5, 43.124035, 36.611875, 41.905643, 1.850474
6, 43.124035, 35.722654, 41.984029, 1.815669
7, 43.124035, 36.607753, 41.662725, 1.991187
8, 43.124035, 35.317540, 41.813137, 1.994634
9, 43.124035, 37.716119, 42.270523, 1.514442
10, 43.124035, 34.601073, 42.072681, 1.926065
11, 43.124035, 36.269792, 41.810630, 1.731879
12, 43.124035, 37.433869, 42.134205, 1.656187
13, 43.124035, 37.033704, 42.026836, 1.683105
14, 43.124035, 35.325244, 42.036699, 1.729715
15, 43.124035, 35.748930, 42.182426, 1.649878
16, 43.124035, 36.807477, 41.788095, 1.903713
17, 43.124035, 37.241654, 42.064197, 1.648042
18, 43.124035, 38.106410, 42.202438, 1.524709
19, 43.124035, 36.776849, 42.073785, 1.769372
20, 43.124035, 37.633682, 42.000204, 1.610730
21, 43.124035, 37.611443, 42.135064, 1.537821
22, 43.124035, 37.698119, 42.326946, 1.486664
23, 43.124035, 37.787578, 42.054979, 1.687445
24, 43.124035, 36.225435, 41.759888, 1.793815
25, 43.124035, 36.848577, 41.912460, 1.906425
26, 43.124035, 36.626390, 42.119474, 1.713220
27, 43.124035, 37.120395, 41.942265, 1.835645
28, 43.124035, 37.577982, 41.890741, 1.750858
29, 43.124035, 33.375566, 41.874234, 2.056554
30, 43.124035, 37.251907, 42.110436, 1.660384
31, 43.124035, 36.041745, 41.664143, 2.011696
32, 43.124035, 37.026152, 42.137694, 1.741381
33, 43.124035, 26.311143, 41.484569, 2.603352
34, 43.124035, 36.299015, 41.982869, 1.783649
35, 43.124035, 35.070282, 42.252153, 1.557636
36, 43.124035, 25.822575, 41.416526, 2.593908
37, 43.124035, 35.974571, 41.900673, 1.867236
38, 43.124035, 36.944325, 42.271432, 1.531467
39, 43.124035, 36.550650, 41.836884, 1.826794
40, 43.124035, 33.434869, 41.957888, 1.994227
41, 43.124035, 35.895570, 41.914607, 1.800639
42, 43.124035, 36.444384, 41.730754, 1.842636
43, 43.124035, 37.080424, 41.624071, 1.969559
44, 43.124035, 34.141280, 42.011969, 1.745151
45, 43.124035, 35.929455, 41.962030, 1.833306
46, 43.124035, 36.556479, 42.138046, 1.739598
47, 43.124035, 36.913079, 42.100683, 1.573832
48, 43.124035, 36.912884, 42.161848, 1.568005
49, 43.124035, 37.144196, 42.022487, 1.748141
50, 43.124035, 36.479695, 42.271126, 1.560781
51, 43.124035, 32.315283, 41.665438, 2.264678
52, 43.124035, 36.475761, 42.041356, 1.680581
53, 43.124035, 35.474781, 41.893333, 2.067767
54, 43.124035, 36.253051, 42.269623, 1.687247
55, 43.124035, 32.311375, 41.657748, 2.427108
56, 43.124035, 36.920423, 42.225957, 1.684255
57, 43.124035, 35.536517, 41.783246, 1.994133
58, 43.124035, 35.625590, 41.989827, 1.731344
59, 43.124035, 35.852337, 41.994534, 1.705889
60, 43.124035, 37.156733, 42.350840, 1.464841
61, 43.124035, 36.282938, 41.885306, 1.869911
62, 43.124035, 36.710701, 42.347513, 1.571013
63, 43.124035, 35.970036, 41.975019, 1.772391
64, 43.124035, 33.361230, 41.975536, 1.823227
65, 43.124035, 36.329639, 42.125656, 1.767718
66, 43.124035, 36.299895, 41.866095, 1.603719
67, 43.124035, 33.830953, 41.877496, 1.986065
68, 43.124035, 33.655965, 41.958930, 2.064239
69, 43.124035, 34.339881, 41.878464, 1.897470
70, 43.124035, 37.576332, 42.069769, 1.543210
71, 43.124035, 37.220635, 41.875785, 1.828650
72, 43.124035, 37.072788, 42.141521, 1.649370
73, 43.124035, 38.553281, 42.179720, 1.483834
74, 43.124035, 37.615491, 41.992654, 1.741307
75, 43.124035, 35.452113, 41.742379, 1.931178
76, 43.124035, 36.562789, 41.783738, 1.840183
77, 43.124035, 36.701353, 41.915098, 1.723581
78, 43.124035, 33.184176, 41.731270, 2.205429
79, 43.124035, 38.569164, 42.547521, 1.250573
80, 43.124035, 36.883216, 42.283896, 1.692979
81, 43.124035, 36.029175, 41.880902, 1.750512
82, 43.124035, 35.429294, 41.620302, 1.929444
83, 43.124035, 34.413362, 41.615725, 1.987115
84, 43.124035, 35.292904, 42.111998, 1.667554
85, 43.124035, 35.137061, 42.027315, 1.819487
86, 43.124035, 36.463743, 42.159463, 1.750225
87, 43.124035, 34.261955, 42.095646, 1.736156
88, 43.124035, 37.000087, 42.235864, 1.579248
89, 43.124035, 35.454570, 41.648979, 1.978985
90, 43.124035, 37.235107, 42.171441, 1.603028
91, 43.124035, 31.807006, 41.770776, 2.072695
92, 43.124035, 35.153936, 42.061683, 1.696131
93, 43.124035, 36.932842, 42.023681, 1.860962
94, 43.124035, 36.940355, 42.246658, 1.631977
95, 43.124035, 36.185400, 42.241922, 1.697653
96, 43.124035, 35.905587, 41.823071, 1.883699
97, 43.124035, 37.225524, 41.976685, 1.668968
98, 43.124035, 36.653276, 41.955567, 1.883437
99, 43.124035, 35.094608, 42.049026, 1.836913
100, 43.124035, 36.485216, 42.158711, 1.766188
