GENERATION,FITNESS MAX,FITNESS MIN,MEAN,STD
1, 18.161728, 15.782656, 16.856822, 0.499505
2, 18.169194, 15.468854, 17.682372, 0.535289
3, 18.200195, 16.252539, 17.827679, 0.562283
4, 18.200195, 15.656884, 17.727237, 0.779343
5, 18.200195, 16.085711, 17.637226, 0.795356
6, 18.200195, 15.745484, 17.502346, 0.903264
7, 18.200195, 15.890374, 17.574551, 0.866194
8, 18.200195, 15.697498, 17.519339, 0.891282
9, 18.200195, 15.869452, 17.730540, 0.788169
10, 18.200195, 15.629254, 17.281431, 0.997625
11, 18.200195, 15.829277, 17.410438, 0.911242
12, 18.200195, 15.357321, 17.519647, 0.986018
13, 18.200195, 15.156715, 17.221442, 1.121985
14, 18.200195, 15.512707, 17.334694, 1.018066
15, 18.200195, 15.671744, 17.522077, 0.946969
16, 18.200195, 14.661620, 17.557283, 0.893089
17, 18.200195, 14.869126, 17.455055, 0.930807
18, 18.200195, 15.559995, 17.453133, 0.972743
19, 18.200195, 15.995637, 17.502090, 0.866224
20, 18.200195, 15.940863, 17.781003, 0.739802
21, 18.200195, 15.632306, 17.522609, 0.882438
22, 18.200195, 15.546741, 17.585661, 0.854715
23, 18.200195, 15.390642, 17.498968, 0.958268
24, 18.200195, 15.474972, 17.521537, 0.997982
25, 18.200195, 15.390337, 17.341162, 1.065440
26, 18.200195, 15.711693, 17.485247, 1.003880
27, 18.200195, 15.455243, 17.298198, 1.069554
28, 18.200195, 15.361089, 17.398338, 1.058964
29, 18.200195, 15.269361, 17.283442, 1.069390
30, 18.200195, 15.927612, 17.631266, 0.843411
31, 18.200195, 15.645134, 17.511712, 0.860721
32, 18.200195, 15.819396, 17.450035, 0.895410
33, 18.200195, 15.842771, 17.647792, 0.816226
34, 18.200195, 15.999194, 17.679753, 0.786971
35, 18.200195, 15.552344, 17.434257, 0.874676
36, 18.200195, 15.772341, 17.608690, 0.835498
37, 18.200195, 15.911298, 17.605043, 0.842458
38, 18.200195, 16.104919, 17.569643, 0.849935
39, 18.200195, 14.203338, 17.457516, 0.942572
40, 18.200195, 15.675399, 17.632802, 0.805015
41, 18.200195, 15.181687, 17.644343, 0.866846
42, 18.200195, 15.858735, 17.577818, 0.865219
43, 18.200195, 15.825132, 17.604906, 0.843711
44, 18.200195, 15.974449, 17.630975, 0.805859
45, 18.200195, 15.406290, 17.362377, 1.043768
46, 18.200195, 15.616021, 17.626399, 0.898610
47, 18.200195, 15.932870, 17.564203, 0.863434
48, 18.200195, 15.847321, 17.602251, 0.845799
49, 18.200195, 15.670502, 17.647641, 0.824988
50, 18.200195, 15.851843, 17.511091, 0.878223
51, 18.200195, 15.788728, 17.667917, 0.804048
52, 18.200195, 15.777556, 17.695899, 0.804513
53, 18.200195, 15.667909, 17.573879, 0.866344
54, 18.200195, 15.960559, 17.548926, 0.867201
55, 18.200195, 15.694961, 17.621291, 0.827421
56, 18.200195, 15.875602, 17.726781, 0.770004
57, 18.200195, 15.470383, 17.547333, 0.892696
58, 18.200195, 16.039894, 17.538722, 0.841476
59, 18.200195, 15.867380, 17.542206, 0.851498
60, 18.200195, 15.711717, 17.751435, 0.806692
61, 18.200195, 15.928967, 17.482708, 0.874570
62, 18.200195, 15.621261, 17.560494, 0.909383
63, 18.200195, 14.701525, 17.612036, 0.945122
64, 18.200195, 15.934625, 17.651302, 0.797812
65, 18.200195, 15.534822, 17.540261, 0.902385
66, 18.200195, 15.489625, 17.513955, 0.894631
67, 18.200195, 15.900055, 17.519775, 0.862839
68, 18.200195, 15.810761, 17.611347, 0.889223
69, 18.200195, 15.996052, 17.740974, 0.782535
70, 18.200195, 15.957438, 17.584382, 0.851725
71, 18.200195, 15.861530, 17.524920, 0.850081
72, 18.200195, 16.007187, 17.663946, 0.812100
73, 18.200195, 15.845207, 17.679273, 0.832351
74, 18.200195, 15.805286, 17.432692, 0.903650
75, 18.200195, 15.797148, 17.573967, 0.850184
76, 18.200195, 15.790083, 17.585110, 0.855872
77, 18.200195, 15.880321, 17.507121, 0.879726
78, 18.200195, 15.853616, 17.433895, 0.900706
79, 18.200195, 14.215643, 17.597682, 0.902582
80, 18.200195, 15.658691, 17.611503, 0.851683
81, 18.200195, 15.902255, 17.300288, 0.901306
82, 18.200195, 15.924782, 17.553813, 0.840408
83, 18.200195, 16.085365, 17.422233, 0.856630
84, 18.200195, 15.789085, 17.363641, 0.893694
85, 18.200195, 15.822254, 17.844844, 0.705046
86, 18.200195, 15.662673, 17.646398, 0.808997
87, 18.200195, 12.712023, 17.406772, 1.253783
88, 18.200195, 15.938034, 17.500242, 0.856567
89, 18.200195, 15.781902, 17.590293, 0.868464
90, 18.200195, 15.832688, 17.280631, 0.866328
91, 18.200195, 15.674807, 17.521837, 0.975090
92, 18.200195, 14.665040, 17.484942, 1.059244
93, 18.200195, 15.521410, 17.523459, 1.017573
94, 18.200195, 15.276240, 17.411690, 0.974683
95, 18.200195, 15.989625, 17.403948, 0.898462
96, 18.200195, 15.665779, 17.381652, 0.925261
97, 18.200195, 15.873842, 17.557358, 0.853992
98, 18.200195, 15.840815, 17.687104, 0.796227
99, 18.200195, 15.491874, 17.427322, 1.003428
100, 18.200195, 15.458176, 17.401787, 1.052636
