GENERATION,FITNESS MAX,FITNESS MIN,MEAN,STD
1, 9.412517, 8.765795, 9.201648, 0.161579
2, 9.492672, 8.681025, 9.365884, 0.136856
3, 9.569611, 8.637908, 9.372260, 0.199030
4, 9.569611, 8.805484, 9.458015, 0.145658
5, 9.569611, 8.649630, 9.477719, 0.182105
6, 9.569611, 8.878260, 9.472074, 0.155175
7, 9.569611, 8.885528, 9.478064, 0.173711
8, 9.569611, 8.786186, 9.469900, 0.151726
9, 9.569611, 8.638047, 9.478394, 0.170723
10, 9.569611, 8.687680, 9.458070, 0.202894
11, 9.569611, 8.783741, 9.478704, 0.186699
12, 9.569611, 8.746238, 9.489431, 0.166576
13, 9.569611, 8.772109, 9.478208, 0.165483
14, 9.569611, 8.619647, 9.453619, 0.204973
15, 9.569611, 8.937871, 9.510053, 0.126326
16, 9.569611, 8.687457, 9.460940, 0.201986
17, 9.569611, 8.308795, 9.467017, 0.224358
18, 9.569611, 8.948322, 9.498915, 0.143206
19, 9.569611, 8.735032, 9.467545, 0.173336
20, 9.569611, 8.843856, 9.483478, 0.143771
21, 9.569611, 8.777888, 9.450297, 0.195898
22, 9.569611, 8.747816, 9.438430, 0.172597
23, 9.569611, 8.599299, 9.429772, 0.215202
24, 9.569611, 8.790230, 9.482591, 0.172120
25, 9.569611, 8.799174, 9.475522, 0.182244
26, 9.569611, 8.659616, 9.493239, 0.155423
27, 9.569611, 8.669779, 9.443645, 0.201977
28, 9.569611, 8.748862, 9.455456, 0.208078
29, 9.569611, 8.846510, 9.499504, 0.155195
30, 9.569611, 8.797208, 9.474792, 0.158225
31, 9.569611, 8.324775, 9.434491, 0.258366
32, 9.569611, 8.701392, 9.437737, 0.208290
33, 9.569611, 8.968067, 9.463499, 0.145511
34, 9.569611, 8.854349, 9.465217, 0.178138
35, 9.569611, 8.774700, 9.492881, 0.142661
36, 9.569611, 8.821743, 9.494572, 0.152930
37, 9.569611, 8.610191, 9.476061, 0.185643
38, 9.569611, 8.879376, 9.461429, 0.162063
39, 9.569611, 8.768881, 9.482745, 0.150899
40, 9.569611, 8.806276, 9.447870, 0.199389
41, 9.569611, 8.763137, 9.459683, 0.193617
42, 9.569611, 8.772852, 9.454254, 0.182426
43, 9.569611, 8.727566, 9.461393, 0.205095
44, 9.569611, 8.454312, 9.488500, 0.163167
45, 9.569611, 8.823620, 9.473129, 0.171014
46, 9.569611, 8.704716, 9.470325, 0.164257
47, 9.569611, 8.791557, 9.456201, 0.178445
48, 9.569611, 8.693764, 9.482101, 0.150445
49, 9.569611, 8.803067, 9.491352, 0.151644
50, 9.569611, 8.796046, 9.467663, 0.182397
51, 9.569611, 8.923960, 9.441058, 0.152317
52, 9.569611, 8.714678, 9.515488, 0.136325
53, 9.569611, 8.639419, 9.475159, 0.187282
54, 9.569611, 8.921718, 9.499591, 0.125423
55, 9.569611, 8.549864, 9.466072, 0.193469
56, 9.569611, 8.759501, 9.471176, 0.158873
57, 9.569611, 8.627482, 9.445443, 0.201922
58, 9.569611, 8.458390, 9.417755, 0.252213
59, 9.569611, 8.635399, 9.469466, 0.181467
60, 9.569611, 8.893539, 9.477898, 0.154662
61, 9.569611, 8.710745, 9.498680, 0.167751
62, 9.569611, 8.766936, 9.467553, 0.190325
63, 9.569611, 8.759212, 9.450707, 0.187566
64, 9.569611, 8.752875, 9.459117, 0.189360
65, 9.569611, 8.727326, 9.445680, 0.181441
66, 9.569611, 8.617370, 9.463601, 0.187423
67, 9.569611, 8.719985, 9.446535, 0.193292
68, 9.569611, 8.606947, 9.475659, 0.187722
69, 9.569611, 8.673657, 9.425838, 0.235745
70, 9.569611, 8.220699, 9.450653, 0.237993
71, 9.569611, 8.924089, 9.488911, 0.142140
72, 9.569611, 8.754007, 9.482962, 0.156845
73, 9.569611, 8.815078, 9.466053, 0.159728
74, 9.569611, 8.715287, 9.494652, 0.135879
75, 9.569611, 8.763438, 9.461378, 0.181291
76, 9.569611, 8.819825, 9.485457, 0.159310
77, 9.569611, 8.832553, 9.447121, 0.180081
78, 9.569611, 8.695601, 9.450037, 0.197289
79, 9.569611, 8.709555, 9.455454, 0.190211
80, 9.569611, 8.790656, 9.471131, 0.171574
81, 9.569611, 8.645449, 9.462565, 0.194624
82, 9.569611, 8.866800, 9.495743, 0.130011
83, 9.569611, 8.616956, 9.479758, 0.161238
84, 9.569611, 8.331616, 9.392895, 0.245581
85, 9.569611, 8.885652, 9.494824, 0.140474
86, 9.569611, 8.781236, 9.482054, 0.162222
87, 9.569611, 8.761752, 9.474634, 0.160252
88, 9.569611, 8.897134, 9.486587, 0.143103
89, 9.569611, 8.832330, 9.480968, 0.150810
90, 9.569611, 8.837494, 9.493151, 0.156574
91, 9.569611, 8.891582, 9.504078, 0.134321
92, 9.569611, 8.931188, 9.482554, 0.162701
93, 9.569611, 8.760763, 9.479580, 0.178867
94, 9.569611, 8.731696, 9.465212, 0.165906
95, 9.569611, 9.055637, 9.499258, 0.125005
96, 9.569611, 8.706543, 9.482003, 0.160026
97, 9.569611, 8.920054, 9.463018, 0.163291
98, 9.569611, 8.541774, 9.460712, 0.188056
99, 9.569611, 8.798746, 9.491225, 0.169983
100, 9.569611, 8.693912, 9.467900, 0.166534
